error_id,language,file,line,stage,message,tool,confidence,target,rule_id,column
08ee9dd1a50b54876f1ff685d101a624595cd1a8,TypeScript,frontend/src/components/AdvancedFieldMapping.tsx,165,typecheck,Property 'jira_field_name' does not exist on type 'FieldMapping'. Did you mean 'field_name'?,tsc,HIGH,prod,TS2551,43
621441dbe272bb345790cc646d3f834d581ee238,TypeScript,frontend/src/components/AdvancedFieldMapping.tsx,168,typecheck,Property 'jira_field_id' does not exist on type 'FieldMapping'.,tsc,HIGH,prod,TS2339,36
84ccc925ef80eb589d314c7899d540671580c56b,TypeScript,frontend/src/components/AdvancedFieldMapping.tsx,172,typecheck,Property 'confidence' does not exist on type 'FieldMapping'.,tsc,HIGH,prod,TS2339,34
792ec2e015e51493a555757671bab4b7d30743b9,TypeScript,frontend/src/components/AdvancedFieldMapping.tsx,174,typecheck,Property 'confidence' does not exist on type 'FieldMapping'.,tsc,HIGH,prod,TS2339,58
765c4baecf23cedd9781eafd3128ed594f521055,TypeScript,frontend/src/components/AdvancedFieldMapping.tsx,176,typecheck,Property 'confidence' does not exist on type 'FieldMapping'.,tsc,HIGH,prod,TS2339,63
58072c49bff6df780397efb6de3eafcddd7d76fb,TypeScript,frontend/src/components/AdvancedFieldMapping.tsx,184,typecheck,Argument of type 'number | undefined' is not assignable to parameter of type 'number'.,tsc,HIGH,prod,TS2345,58
2c000afed5c4caf3f6ff2fbcbc3e79d6bdf55787,TypeScript,frontend/src/components/EmptyState.test.tsx,109,typecheck,Type '{ icon: Element; title: string; description: string; docsUrl: string; }' is not assignable to type 'IntrinsicAttributes & EmptyStateProps'.,tsc,HIGH,test,TS2322,9
50a5bea7ca8faefec1e1f8809b6eae6d2930cb9b,TypeScript,frontend/src/components/EmptyState.test.tsx,192,typecheck,"Type '{ icon: Element; title: string; description: string; primaryAction: { label: string; onClick: Mock<Procedure>; variant: ""contained""; }; secondaryAction: { label: string; onClick: Mock<...>; variant: ""outlined""; }; benefits: string[]; docsUrl: string; }' is not assignable to type 'IntrinsicAttributes & EmptyStateProps'.",tsc,HIGH,test,TS2322,9
6b657e46d4848b561685905378254d4bf9c7f58d,TypeScript,frontend/src/components/OnboardingWizard.tsx,152,typecheck,Property 'env' does not exist on type 'ImportMeta'.,tsc,HIGH,prod,TS2339,24
7c0677f78d70cfb18e64aaa6e7d784cf406c0520,TypeScript,frontend/src/components/OnboardingWizard.tsx,165,typecheck,Property 'env' does not exist on type 'ImportMeta'.,tsc,HIGH,prod,TS2339,59
3121a6e33c0d4f276ad3ecb532698fad3f208e9f,TypeScript,frontend/src/components/OnboardingWizard.tsx,195,typecheck,Property 'env' does not exist on type 'ImportMeta'.,tsc,HIGH,prod,TS2339,51
4a220d62a2db675630dd4c239a8bced26977814b,TypeScript,frontend/src/components/RepositoryStatus/RepositorySyncButton.tsx,16,typecheck,"Module '""@mui/icons-material""' has no exported member 'PullRequest'.",tsc,HIGH,prod,TS2305,3
6256f2746ebd51eceb5f63865e41596e0ac0577c,TypeScript,frontend/src/components/SuggestedLinksPanel.tsx,121,typecheck,Argument of type '{ projectId: number | undefined; }' is not assignable to parameter of type 'number'.,tsc,HIGH,prod,TS2345,32
e4decfd4a2cec488b7fbb8f569fa81a7ead8a081,TypeScript,frontend/src/components/SuggestedLinksPanel.tsx,156,typecheck,"Expected 1 arguments, but got 2.",tsc,HIGH,prod,TS2554,48
4ea764a4cee41c2f80c9eb61ca631e0d7aaab87a,TypeScript,frontend/src/components/SuggestedLinksPanel.tsx,166,typecheck,"Expected 1 arguments, but got 2.",tsc,HIGH,prod,TS2554,47
272e7c0d365414af52f3e6dc618528fe4e214a23,TypeScript,frontend/src/components/capacity/CFDVisualization.tsx,154,typecheck,"Object literal may only specify known properties, and 'limit' does not exist in type '{ sprintId?: number | undefined; startDate?: string | undefined; endDate?: string | undefined; }'.",tsc,HIGH,prod,TS2353,43
3a209c67cfb4b49ad5a72e9d495efc46aab280c7,TypeScript,frontend/src/components/capacity/CapacitySettingsPanel.tsx,113,typecheck,"Type 'CapacityColor' is not assignable to type 'OverridableStringUnion<""error"" | ""warning"" | ""success"" | ""inherit"" | ""primary"" | ""secondary"" | ""info"", LinearProgressPropsColorOverrides> | undefined'.",tsc,HIGH,prod,TS2322,9
bfd6f94af828176493c129fbba3d606468a33fc4,TypeScript,frontend/src/components/capacity/CapacitySettingsPanel.tsx,152,typecheck,"Object literal may only specify known properties, and 'sprintWeeks' does not exist in type '{ sprintId?: number | undefined; asOfDate?: string | undefined; }'.",tsc,HIGH,prod,TS2353,57
5176be29b2f34e7591435bcfe3f18398e0dd5a8f,TypeScript,frontend/src/components/capacity/CapacitySettingsPanel.tsx,93,typecheck,No overload matches this call.,tsc,HIGH,prod,TS2769,9
6d833d55eafc6541efbe943aa9d608e2a5c07a27,TypeScript,frontend/src/components/capacity/TeamHealthDashboard.tsx,217,typecheck,Argument of type '{ limit: number; }' is not assignable to parameter of type 'number'.,tsc,HIGH,prod,TS2345,37
64e80f6d584385fcc65fcf3df239b0914219a1dc,TypeScript,frontend/src/hooks/useParallelLoading.ts,9,typecheck,"Module '""../utils/apiOptimization""' declares 'ParallelLoadResult' locally, but it is not exported.",tsc,HIGH,prod,TS2459,24
8ba9f6f65458b0d1b2090976bb37edd310f755b0,TypeScript,frontend/src/pages/Analytics.tsx,191,typecheck,Property 'created_date' does not exist on type 'TaskItem'.,tsc,HIGH,prod,TS2339,57
28318697e7e0199a3b310f91f69f97336470de6f,TypeScript,frontend/src/pages/Analytics.tsx,191,typecheck,Property 'resolved_date' does not exist on type 'TaskItem'.,tsc,HIGH,prod,TS2339,40
40787d198484267ec4c0f9404b0e43174b80d504,TypeScript,frontend/src/pages/Analytics.tsx,191,typecheck,Property 'updated_date' does not exist on type 'TaskItem'.,tsc,HIGH,prod,TS2339,24
752e5f7b1685097c0226f7acb8cb2d2f96625910,TypeScript,frontend/src/pages/Analytics.tsx,211,typecheck,Property 'updated_date' does not exist on type 'TaskItem'.,tsc,HIGH,prod,TS2339,40
d691dceafe341bd4b404d73f3daba019b6d42936,TypeScript,frontend/src/pages/Analytics.tsx,212,typecheck,Property 'updated_date' does not exist on type 'TaskItem'.,tsc,HIGH,prod,TS2339,28
526e85642ebbb8510575ec6050c9837e2cfcbc40,TypeScript,frontend/src/pages/Analytics.tsx,262,typecheck,Property 'resolved_date' does not exist on type 'TaskItem'.,tsc,HIGH,prod,TS2339,14
20871c86af76700d56ad2849415cdbd4c4ba4889,TypeScript,frontend/src/pages/Analytics.tsx,263,typecheck,Property 'resolved_date' does not exist on type 'TaskItem'.,tsc,HIGH,prod,TS2339,35
8307aed8a16803400b540d125335239359173e0d,TypeScript,frontend/src/pages/Analytics.tsx,268,typecheck,Property 'resolved_date' does not exist on type 'TaskItem'.,tsc,HIGH,prod,TS2339,35
ffb97a6e6974faba6a83234264d5952fff3c658b,TypeScript,frontend/src/pages/Analytics.tsx,269,typecheck,Property 'created_date' does not exist on type 'TaskItem'.,tsc,HIGH,prod,TS2339,23
4acefa89bf4e0e20a55b62af03a362dbb60783c0,TypeScript,frontend/src/pages/Analytics.tsx,269,typecheck,Property 'updated_date' does not exist on type 'TaskItem'.,tsc,HIGH,prod,TS2339,41
9a4bcd7cee765d94f95258a0ad33d2d351d05bb6,TypeScript,frontend/src/pages/Dashboard.tsx,763,typecheck,No overload matches this call.,tsc,HIGH,prod,TS2769,23
ffa1b8520c481b4032410383c3e8b6b75e4f38ba,TypeScript,frontend/src/pages/Dashboard.tsx,907,typecheck,Property 'limit' does not exist on type 'SprintWipStatus'.,tsc,HIGH,prod,TS2339,57
bb2658fdb66ff1c8ce255e2c31886ab54af901f1,TypeScript,frontend/src/pages/JiraFieldsConfig.tsx,135,typecheck,Property 'warning' does not exist on type 'CalibrationResult'.,tsc,HIGH,prod,TS2339,18
9ed4e12ded7a700814219e8383d313d48dd888c9,TypeScript,frontend/src/pages/JiraFieldsConfig.tsx,136,typecheck,Property 'warning' does not exist on type 'CalibrationResult'.,tsc,HIGH,prod,TS2339,29
79325b3617e33048c2b989e7358c2d7845b75485,TypeScript,frontend/src/pages/Knowledge.tsx,190,typecheck,Property 'env' does not exist on type 'ImportMeta'.,tsc,HIGH,prod,TS2339,58
a5e695acde7fa3e4523d83c0c1f1a3d53b7fd9a0,TypeScript,frontend/src/pages/Knowledge.tsx,401,typecheck,Argument of type 'unknown[]' is not assignable to parameter of type 'SetStateAction<TreeNode[] | null>'.,tsc,HIGH,prod,TS2345,15
3314a0b437c7fa4b4052c2421f005f9b73e747dd,TypeScript,frontend/src/pages/Knowledge.tsx,403,typecheck,'n' is of type 'unknown'.,tsc,HIGH,prod,TS18046,58
9b62519309d4d6a35da2c00d1d0d2b977a71d306,TypeScript,frontend/src/pages/Knowledge.tsx,404,typecheck,Argument of type 'unknown[]' is not assignable to parameter of type 'TreeNode[]'.,tsc,HIGH,prod,TS2345,131
58acca4b4c070e6a5f7c3c4128b9c8229dcd74ce,TypeScript,frontend/src/pages/Knowledge.tsx,465,typecheck,Argument of type 'TreeNode[] | undefined' is not assignable to parameter of type 'TreeNode[]'.,tsc,HIGH,prod,TS2345,35
6af91a5da4438a3c14a2330e0cb9564ce5075314,TypeScript,frontend/src/pages/ProjectDetail.tsx,1037,typecheck,'e' is of type 'unknown'.,tsc,HIGH,prod,TS18046,76
62280b7418ef7779ba4ecc65678ecd1bd5b9da38,TypeScript,frontend/src/pages/ProjectDetail.tsx,1037,typecheck,Property 'response' does not exist on type '{}'.,tsc,HIGH,prod,TS2339,50
37026bf53131f771e71f29135652a8b7b939d12d,TypeScript,frontend/src/pages/ProjectDetail.tsx,1077,typecheck,Property 'response' does not exist on type '{}'.,tsc,HIGH,prod,TS2339,14
ca77d6eacead23382fd0c063934b3d3883046b11,TypeScript,frontend/src/pages/ProjectDetail.tsx,1078,typecheck,Property 'message' does not exist on type '{}'.,tsc,HIGH,prod,TS2339,14
6e85565748f2b4aae3761b7ace848b72d7ea3431,TypeScript,frontend/src/pages/ProjectDetail.tsx,1111,typecheck,Property 'has_token' does not exist on type '{ configured: boolean; base_url?: string | null | undefined; status?: string | undefined; }'.,tsc,HIGH,prod,TS2339,60
5fb4a5ecbaf082120196117bb49368d4e50c7941,TypeScript,frontend/src/pages/ProjectDetail.tsx,1278,typecheck,Property 'meta' does not exist on type 'Project'.,tsc,HIGH,prod,TS2339,21
b550b1c1ad07f15a509279bebff774b2bb2d557f,TypeScript,frontend/src/pages/ProjectDetail.tsx,1280,typecheck,Property 'meta' does not exist on type 'Project'.,tsc,HIGH,prod,TS2339,53
f9b526c9671896718a71c054ccbdb697e88be7c9,TypeScript,frontend/src/pages/ProjectDetail.tsx,1330,typecheck,'project.completed_tasks' is possibly 'undefined'.,tsc,HIGH,prod,TS18048,40
834068cfdba7492134d8d3b4b0e3c1b86c3d3425,TypeScript,frontend/src/pages/ProjectDetail.tsx,1330,typecheck,'project.total_tasks' is possibly 'undefined'.,tsc,HIGH,prod,TS18048,18
95296434e7b7a1ac139e39fb445c26a6f48d7859,TypeScript,frontend/src/pages/ProjectDetail.tsx,1412,typecheck,Property 'spent_budget' does not exist on type 'Project'.,tsc,HIGH,prod,TS2339,28
858164244f09d92162741263923bcf126a78c778,TypeScript,frontend/src/pages/ProjectDetail.tsx,1457,typecheck,Property 'ideal_burndown' does not exist on type 'BurndownData'.,tsc,HIGH,prod,TS2339,36
34043d2a254b13029073db5dc11a596c95439b85,TypeScript,frontend/src/pages/ProjectDetail.tsx,1463,typecheck,Property 'ideal_burndown' does not exist on type 'BurndownData'.,tsc,HIGH,prod,TS2339,38
80661488a9e532962e8fd6644d611755edb9ae78,TypeScript,frontend/src/pages/ProjectDetail.tsx,1473,typecheck,Property 'actual_burndown' does not exist on type 'BurndownData'.,tsc,HIGH,prod,TS2339,33
37348f1d99f10751385d1759c8de834ba4dfc305,TypeScript,frontend/src/pages/ProjectDetail.tsx,1474,typecheck,Property 'ideal_burndown' does not exist on type 'BurndownData'.,tsc,HIGH,prod,TS2339,33
de4e6d3d21ee2c5d2aa4466ce1070ab1d3afb412,TypeScript,frontend/src/pages/ProjectDetail.tsx,1535,typecheck,'member.days_since_activity' is possibly 'undefined'.,tsc,HIGH,prod,TS18048,27
931488a4bc38a3f75f78ead2151077d740ed19d8,TypeScript,frontend/src/pages/ProjectDetail.tsx,1536,typecheck,'member.days_since_activity' is possibly 'undefined'.,tsc,HIGH,prod,TS18048,27
dee8d4f0770bbeab7578c6b9fbb0bfb6e1cf5dad,TypeScript,frontend/src/pages/ProjectDetail.tsx,1614,typecheck,Argument of type 'unknown' is not assignable to parameter of type 'SetStateAction<BurndownData | null>'.,tsc,HIGH,prod,TS2345,39
948aa3578ddbd0b13681c17bf18734ab82c51291,TypeScript,frontend/src/pages/ProjectDetail.tsx,1617,typecheck,Argument of type 'SprintQuality' is not assignable to parameter of type 'SetStateAction<SprintQualityData | null>'.,tsc,HIGH,prod,TS2345,38
d2b94e49cac2428ba35e8598681381ac4ba36ed8,TypeScript,frontend/src/pages/ProjectDetail.tsx,1620,typecheck,Argument of type 'SprintCapacity' is not assignable to parameter of type 'SetStateAction<SprintCapacityData | null>'.,tsc,HIGH,prod,TS2345,39
4a81dc5ce3774447e2210d8257e5ecc0dc5e9b7e,TypeScript,frontend/src/pages/ProjectDetail.tsx,1625,typecheck,Property 'sprint_id' does not exist on type 'Sprint'.,tsc,HIGH,prod,TS2339,36
4a81dc5ce3774447e2210d8257e5ecc0dc5e9b7e,TypeScript,frontend/src/pages/ProjectDetail.tsx,1625,typecheck,Property 'sprint_id' does not exist on type 'Sprint'.,tsc,HIGH,prod,TS2339,56
771fb8e4a4f09c7dc0f75a8f4ae6c6edb0ea2842,TypeScript,frontend/src/pages/ProjectDetail.tsx,1637,typecheck,Property 'sprint_id' does not exist on type 'Sprint'.,tsc,HIGH,prod,TS2339,26
3b6b328f9132b13e06fe324f382f6a2c351fbb8e,TypeScript,frontend/src/pages/ProjectDetail.tsx,1643,typecheck,Property 'commitment' does not exist on type 'Sprint'.,tsc,HIGH,prod,TS2339,53
