path,target,language,extension,loc_total,loc_nonempty,bytes,sha256,encoding,line_endings
.claude/settings.local.json,prod,JSON,.json,39,38,3098,e4f466e34ce8ad01b5b033f2de6f4df25e9ff071ac3cc01d66364a242cb4d209,utf-8,LF
.env,prod,Unknown,,71,56,1744,46cca8c7c23638c78833dbdb88c0a7e1b7e31a1e892d085becb5b786a6094dd3,utf-8,LF
.env.example,prod,Unknown,.example,41,33,932,4bace26c9e1feed996283fc4cceae23ae4417e238aabbfea88108aadeeafdc31,utf-8,LF
.github/workflows/quality.yml,prod,YAML,.yml,19,16,335,3d261f8251b369b41ab74a5d5adcd011716a03d24aeb39c2f6ccfb814742c4a7,utf-8,LF
.gitignore,prod,Unknown,,90,76,910,8701d2a41943cae6de86b63585ca5fe9a2f774f607cb4b9603e7787c0afd0598,utf-8,LF
.playwright-mcp/execution_history_working.png,prod,Unknown,.png,0,0,130519,6bcdb198d3d4f75e790daa3e80bf9f8129653479a09695fe09cf176d17a0a225,binary,mixed
.playwright-mcp/flow-builder-execution-success.png,prod,Unknown,.png,0,0,202822,0eb36963dd21ef293a433cc60bcaaaf6943b14034ae30295a42e03ed07f19a51,binary,mixed
.playwright-mcp/flow-builder-initial.png,prod,Unknown,.png,0,0,168826,b8090ce76becb3e783a614905347c7c07a9e94c83bab3f38fc7334994c5abaff,binary,mixed
.playwright-mcp/flow-builder-with-nodes.png,prod,Unknown,.png,0,0,199186,9b6bd28a24de4480d28f250894ce182460581baa8dba38c83a1a6a73b591a409,binary,mixed
.playwright-mcp/login_success_dashboard.png,prod,Unknown,.png,0,0,256765,60dfa4e88478c9dd04029d7eb3cbc5f55cf00747cd31802f2999e2603c36d674,binary,mixed
BACKEND_TIMEOUT_FIX.md,prod,Markdown,.md,243,190,7983,ef1a72e5885341582a7e0cbd7fabd613e5a90bbacb82d34550fab1a183d48458,utf-8,LF
CODE_DUPLICATION_PROGRESS.md,prod,Markdown,.md,302,225,8691,f1f14b235e65fdd48a28fe687bb03ab1ff527b328ee73861225e370eafeac629,utf-8,LF
COMPREHENSIVE_REFACTORING_PROGRESS.md,prod,Markdown,.md,521,393,17618,583905db79fc5284c2205f2b074e07ef2a82fac03a62a311f2d884c81610b18f,utf-8,LF
CREDENTIALS_ENCRYPTION_VERIFICATION.md,prod,Markdown,.md,444,323,13004,d0a4df8a461c41946a2879e1b93f22dfaa6e04b3d13d4ca85f9502963328eeea,utf-8,LF
CRITICAL_ISSUE_2_PROGRESS.md,prod,Markdown,.md,358,281,10756,bb812ef8cece4b76230723093e221c962fcd7448c71aa6ac0e5cdf9af2a25a2a,utf-8,LF
CRITICAL_ISSUE_4_SECURITY_COMPLETED.md,prod,Markdown,.md,403,298,13456,86e20d0da2117a67310e0710192ac03c6aa8bfda4db6453be3c4a5fb69a924d3,utf-8,LF
DEVELOPMENT_COMPLETION_REPORT.md,prod,Markdown,.md,425,317,16162,6f758f9d599c8c276d3bd0488cfb68ea866e3b7c85c01a6ffa32d2f95b17f318,utf-8,LF
IMPLEMENTATION_STATUS_FINAL.md,prod,Markdown,.md,259,201,9362,8f86db012826cd7735e248b2228557c16f1c527f8f3916281013839f38cab544,utf-8,LF
JIRA_ASYNC_CELERY_MIGRATION.md,prod,Markdown,.md,333,252,9015,c85cdd1ed9eecc9d4c12f1c1515ce0685f97511f78e486b4b21482f594c3eaa0,utf-8,LF
JIRA_SYNC_OPTIMIZATION.md,prod,Markdown,.md,187,138,5306,578620b9baf0cabdccd55e293646804e52803079a558936b04096e0a57fdec57,utf-8,LF
MASTER_PLAN_UPDATE_RECOMMENDATION.md,prod,Markdown,.md,97,66,5168,4e869628a1d3957834154c81dbaf9efceb8ecfcff3175dee7b2c5e91141284b3,utf-8,LF
METRICS_AUDIT_REPORT.md,prod,Markdown,.md,1026,804,31971,1c88c664370cc763c62e7515e1b8b27c17d860924967a1b03c52eb802549c2a8,utf-8,LF
ONBOARDING_GUIDE.md,prod,Markdown,.md,270,190,8772,86a6eb4e949a33c78b853430842846fa7fbd416a686fe6f4da74118a86c2e643,utf-8,LF
PERFORMANCE_RECOMMENDATIONS.md,prod,Markdown,.md,487,364,16320,8eb17f752248488e28a25a5bea76b66b93a679cf03c21b3e887c4b48f28bef20,utf-8,LF
PHASE_3_3_VELOCITY_CHART_IMPROVEMENTS.md,prod,Markdown,.md,466,371,14807,12a959324ba25e0e2a3811c92608ffe3c292abd56bc7ce5d2bec60a3301ebaf2,utf-8,LF
PHASE_3_6_TRACEABILITY_BACKFILL_PROGRESS.md,prod,Markdown,.md,517,412,17063,f1cc2df25800999af5eedd494401a74fad1071571c352e5133749ae8910fc607,utf-8,LF
PHASE_4_ANALYTICS_IMPLEMENTATION.md,prod,Markdown,.md,409,313,12518,2df4e0c74cd1fd61b9ba68054bb6f8e646e3b81655a3e7f9c40d71dfad0083c4,utf-8,LF
PHASE_4_NAVIGATION_PERFORMANCE.md,prod,Markdown,.md,441,351,14114,332f65c19b23bb7d077ca2275c628352d532b01fdc046745d4384f8165f5eba9,utf-8,LF
PHASE_5_PERFORMANCE_OPTIMIZATION.md,prod,Markdown,.md,585,449,19164,85dd18d77c58978ead5e715d064b13138baf3fa298dec12893bd1fb9740dc981,utf-8,LF
PHASE_5_PROGRESSIVE_DISCLOSURE.md,prod,Markdown,.md,507,401,17281,fc634a6be76f4b063ad89e40e79cd4b739d3631af6a82321ea74ff25717be741,utf-8,LF
PHASE_6_LOADING_STATES_FEEDBACK.md,prod,Markdown,.md,512,416,16351,25b572e26e385449ebe0387ea10a1ea08173abb21657b06f2759ff7cb3db28f2,utf-8,LF
PHASE_6_TESTING_IMPLEMENTATION.md,prod,Markdown,.md,676,516,17491,644f4203cd1272fd4105fb744e948a16ab115bbece27a9417caf5212f519076b,utf-8,LF
PHASE_7_CONTEXTUAL_HELP.md,prod,Markdown,.md,443,351,14443,a8e76674cba700958976cee824ed9a19fa847476ab10ae210b36bc2f53f5eec9,utf-8,LF
README.md,prod,Markdown,.md,322,249,9082,09ebb22a433bf4539059bc91b51c8623b545c4032d04490e2acc9b5129478e1b,utf-8,LF
REFACTORING_PLAN.md,prod,Markdown,.md,313,251,16051,ff806961dd5eefd33c59a806b3ac42cac63877773e4c822c25ad1bd54b7c3f81,utf-8,LF
REFACTORING_PROGRESS.md,prod,Markdown,.md,315,239,10490,4a21485cf40f9076ee9ec7d7951884bf364508d2d0eff6c392081fe7ae737917,utf-8,LF
REFACTORING_REPORT.md,prod,Markdown,.md,1501,1193,47590,a9f70240e96dc1354a824b567983cc845582d6456ac309981866b931440bb726,utf-8,LF
SESSION_SUMMARY.md,prod,Markdown,.md,399,302,13724,c14aff83842b4f7177500e2a197f87c45e01a4510fb6ad3c7263ea8b26cb75b1,utf-8,LF
TRACEABILITY_FLOW_BUILDER_PHASE1.md,prod,Markdown,.md,307,248,9280,fc28b294c7888d8742368c943ad225793b7d5722064fc75f03310dd250648cbf,utf-8,LF
TRACEABILITY_FLOW_BUILDER_PHASE2.md,prod,Markdown,.md,488,380,17050,7a5aaa42f0413e46d3aeeff3a6e12b34cddc37266c3c5f83f22ae420f3b70a9c,utf-8,LF
TRACEABILITY_RULES_DESIGN.md,prod,Markdown,.md,821,697,28493,faf3298e8de9b64751a2f74f345b21448f69f09d0ced36dc34f678efda15aa1c,utf-8,LF
TRACEABILITY_RULES_DESIGN_V2.md,prod,Markdown,.md,690,550,22130,216f6f1ef4e9c8b42320dbd0aa8f0e2e75bd0be0f041077774df17ac4a7409e6,utf-8,LF
VISUAL_FLOW_BUILDER_DESIGN.md,prod,Markdown,.md,1118,1006,31749,fde931a12ad608bec29947eae26dba190313f4c8c27bc0b8c051d6ec8f255815,utf-8,LF
analysis_output/LATEST.json,prod,JSON,.json,92,92,1824,fbedaf245bfec3c5ad155e48bf994da6872c1d3d34923ca889be45925123b2f9,utf-8,LF
analysis_output/exports/LATEST.zip,prod,Unknown,.zip,0,0,1557028,bffe96786928984159581bdd78ab16d357b656a78e806b096ba9edcdea311fd1,binary,mixed
analysis_output/exports/artifacts_20260121-105153_b562249.zip,prod,Unknown,.zip,0,0,46217,59fd7ed39bc95be2f6a66dde6cc17abfd898dbc06ee238ee687b38f08f9314bd,binary,LF
analysis_output/exports/artifacts_20260121-110824_b562249.zip,prod,Unknown,.zip,0,0,785045,e51c775a85683a739250f57dd296977dda35792dea3c15b994af56ed720edc06,binary,mixed
analysis_output/exports/artifacts_20260121-154231_b562249.zip,prod,Unknown,.zip,0,0,1318318,a4540dd95ac0aa6ce5ca99ee5b838369d70d042320181743166131342f58b900,binary,mixed
analysis_output/exports/artifacts_20260121-154559_b562249.zip,prod,Unknown,.zip,0,0,1319867,77305365c723caa62970de5d736e82e9446a0820b9faeb09b53ab79fb759e3dc,binary,mixed
analysis_output/exports/artifacts_20260121-154739_b562249.zip,prod,Unknown,.zip,0,0,1339252,fe72ce64668b44d5105729d514130834c28a488f53065f68547dcf1c467ccf6c,binary,mixed
analysis_output/exports/artifacts_20260121-155404_b562249.zip,prod,Unknown,.zip,0,0,1538998,c3c164a23de2ff1bf9b48f70655977472f308d098f3b090a2fd7ea3a9240d05c,binary,mixed
analysis_output/exports/artifacts_20260121-160255_b562249.zip,prod,Unknown,.zip,0,0,1557028,bffe96786928984159581bdd78ab16d357b656a78e806b096ba9edcdea311fd1,binary,mixed
analysis_output/runs/20260121-105153_b562249/REPORT.md,prod,Markdown,.md,33,28,946,1796ce68f4ada90a33e2c0072ee876557f5123d4c80c10f95b60d15c7dbe249a,utf-8,LF
analysis_output/runs/20260121-105153_b562249/REPORT_20260121-105153_b562249.md,prod,Markdown,.md,33,28,946,1796ce68f4ada90a33e2c0072ee876557f5123d4c80c10f95b60d15c7dbe249a,utf-8,LF
analysis_output/runs/20260121-105153_b562249/call_matrix_full.json,prod,JSON,.json,1,1,2,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,utf-8,none
analysis_output/runs/20260121-105153_b562249/call_matrix_internal.json,prod,JSON,.json,1,1,2,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,utf-8,none
analysis_output/runs/20260121-105153_b562249/chain_breaks.csv,prod,Unknown,.csv,1,1,43,fd25edd38e079609d954bc33ebadba8c38eab469380e85b293e5a41d8d0b31ab,utf-8,none
