method_id,file,start_line,kind,symptom,note
5d9ebbb03ec2f51f41d5f5d3cd8656e7f4d5d0fd,backend/alembic/env.py,26,function,high_external_low_internal_ratio,only external edges
16fac64c18a9898e453566b8d630d4a046e11f9d,backend/alembic/env.py,40,function,high_external_low_internal_ratio,only external edges
bf661f3485b8a7ed9ec7abb5d3eb873eaeeca813,backend/alembic/env.py,47,function,high_external_low_internal_ratio,only external edges
d8057ce263c1fbcefef308bd59b1a0100dc9877e,backend/alembic/versions/0001_iter1_extensions.py,19,function,high_external_low_internal_ratio,only external edges
bcaf47231ce159e9d4ff4cde8c8810c05eef5795,backend/alembic/versions/0001_iter1_extensions.py,26,function,high_external_low_internal_ratio,only external edges
ea01aa7cc163d6ba5226508de6c7bd2b77719234,backend/alembic/versions/0001_iter1_extensions.py,44,function,high_external_low_internal_ratio,only external edges
82fde6b9da18a13e478cb1fc921f1694665d2492,backend/alembic/versions/0001_iter1_extensions.py,65,function,high_external_low_internal_ratio,only external edges
7ed5428a4f55e675d2e53628330d33214e9528da,backend/alembic/versions/005_add_jira_field_mappings.py,20,function,high_external_low_internal_ratio,only external edges
ae2986df2cd39d341ec5f44c6615edbcaa431075,backend/alembic/versions/005_add_jira_field_mappings.py,26,function,high_external_low_internal_ratio,only external edges
7250a500b73dad3abd97637ede573c8936b2fb64,backend/alembic/versions/005_add_jira_field_mappings.py,42,function,high_external_low_internal_ratio,only external edges
435cd648c1c4811bf4b4943ddb9d7a3a324404fc,backend/alembic/versions/005_add_jira_field_mappings.py,51,function,high_external_low_internal_ratio,only external edges
d533d5fdda6c138a9076404d5de7a86d6570a07f,backend/alembic/versions/005_add_jira_field_mappings.py,59,function,high_external_low_internal_ratio,only external edges
5f21e190577fab68e22f07725fd1341803a877b2,backend/alembic/versions/006_add_pr_indexes.py,14,function,high_external_low_internal_ratio,only external edges
14d0fe6cbe1c4a64771f0737b19956f539936340,backend/alembic/versions/006_add_pr_indexes.py,20,function,high_external_low_internal_ratio,only external edges
e2dadd354ceff5463ccdadf9f210ccdafaf7b7b5,backend/alembic/versions/007_add_sprint_wip_limit.py,16,function,high_external_low_internal_ratio,only external edges
4dff50da133ce88d873506168e5909eafd2de12a,backend/alembic/versions/007_add_sprint_wip_limit.py,22,function,high_external_low_internal_ratio,only external edges
dcd01fad6b7e8bf1cc1f289452517fe74de7b7c0,backend/alembic/versions/007_add_sprint_wip_limit.py,28,function,high_external_low_internal_ratio,only external edges
f917c6f1278c858613b103c5d9deedec08d4aafb,backend/alembic/versions/008_add_business_value_audit.py,17,function,high_external_low_internal_ratio,only external edges
f7e21f685e470eb2fd13602e44bc6d6ecdd7c354,backend/alembic/versions/008_add_business_value_audit.py,23,function,high_external_low_internal_ratio,only external edges
53d7784e3182060d214a3565e0195593a5d0f530,backend/alembic/versions/008_add_business_value_audit.py,32,function,high_external_low_internal_ratio,only external edges
030856b676c46da5c9a6f10e7edfb497df5d1307,backend/alembic/versions/008_add_business_value_audit.py,40,function,high_external_low_internal_ratio,only external edges
226701c0613cb756f2e861b6d5df080017fb6eff,backend/alembic/versions/009_add_task_indexes.py,16,function,high_external_low_internal_ratio,only external edges
bedb98061dbb8ee438244971c0dcd088c809ae35,backend/alembic/versions/009_add_task_indexes.py,21,function,high_external_low_internal_ratio,only external edges
2bdd5ccfdbdb4224d56d256010d065e54d7f1c62,backend/alembic/versions/010_add_performance_indexes.py,14,function,high_external_low_internal_ratio,only external edges
c400edb49d822acccc8bdd70d347f56b568a61b7,backend/alembic/versions/010_add_performance_indexes.py,22,function,high_external_low_internal_ratio,only external edges
010c822b2e51cc9ee870db16210f629a4e8c5e62,backend/alembic/versions/010_add_performance_indexes.py,49,function,high_external_low_internal_ratio,only external edges
a0a93a634b1238a0402f4470501718a03bd91aaf,backend/alembic/versions/010_add_performance_indexes.py,60,function,high_external_low_internal_ratio,only external edges
c8316dc4d8503c43345a11ee070b4296a83186c5,backend/alembic/versions/011_add_traceability_tables.py,19,function,high_external_low_internal_ratio,only external edges
7b7ad9d308d743eb7cde812f6b7cda0bb831b19e,backend/alembic/versions/011_add_traceability_tables.py,25,function,high_external_low_internal_ratio,only external edges
9fa058582f0205aea2ae619b29669369172b7549,backend/alembic/versions/011_add_traceability_tables.py,99,function,high_external_low_internal_ratio,only external edges
2e0a4637a2501caef9a2b4bc6aab45d426f8ff08,backend/alembic/versions/012_add_sprint_indexes.py,19,function,high_external_low_internal_ratio,only external edges
647d58c205a16c208c2526cd135f484e7acf4c51,backend/alembic/versions/012_add_sprint_indexes.py,56,function,high_external_low_internal_ratio,only external edges
59a95d26d7e3969418182e470823fc54d010f027,backend/alembic/versions/013_optimize_tasks_query_indexes.py,17,function,high_external_low_internal_ratio,only external edges
e9c19864e75f036248378a7a67355d1242d18471,backend/alembic/versions/013_optimize_tasks_query_indexes.py,80,function,high_external_low_internal_ratio,only external edges
e53c08fc71305caa22dac124d3c2b209c4367a8e,backend/alembic/versions/014_create_integration_settings_table.py,17,function,high_external_low_internal_ratio,only external edges
caf3ebbe576b432b2820c44b09ae1d28ecbee002,backend/alembic/versions/014_create_integration_settings_table.py,37,function,high_external_low_internal_ratio,only external edges
d55c52d9f33cc6f3dee7504c25751fe8eb8059ca,backend/alembic/versions/014_create_integration_settings_table.py,43,function,high_external_low_internal_ratio,only external edges
32b85f829289ec7b51a7268da04f55294f77a5ca,backend/alembic/versions/014_create_integration_settings_table.py,49,function,high_external_low_internal_ratio,only external edges
4199fd3b542346b99c4bece483126e8fc141346a,backend/alembic/versions/015_add_project_repositories.py,19,function,high_external_low_internal_ratio,only external edges
330048daac1150b9c2765292b5ddd7122b623948,backend/alembic/versions/015_add_project_repositories.py,26,function,high_external_low_internal_ratio,only external edges
7fa483686a716f95dde43f0680b7c81095401605,backend/alembic/versions/015_add_project_repositories.py,50,function,high_external_low_internal_ratio,only external edges
e20747dbe03f6d7d1ad84c1f0cd2274deec1ecb4,backend/alembic/versions/016_add_foreign_key_indexes.py,19,function,high_external_low_internal_ratio,only external edges
34b1d10d60faf558023eaa6318368a4873771fdd,backend/alembic/versions/016_add_foreign_key_indexes.py,30,function,high_external_low_internal_ratio,only external edges
a212659ef4581291eafe5e99a93b18935414721c,backend/alembic/versions/017_add_rbac_tables.py,31,function,high_external_low_internal_ratio,only external edges
f59a4c80325bace940d438639c15120a5c24d26c,backend/alembic/versions/017_add_rbac_tables.py,38,function,high_external_low_internal_ratio,only external edges
796ac98fe1211f51ea9ebff97eb7e65b40f5e2a9,backend/alembic/versions/017_add_rbac_tables.py,154,function,high_external_low_internal_ratio,only external edges
b488744fa731b181f836d1b400fd02c1f936535e,backend/alembic/versions/018_add_traceability_rules.py,19,function,high_external_low_internal_ratio,only external edges
c4d6d96172748213ca34aae086e749955d571c22,backend/alembic/versions/018_add_traceability_rules.py,26,function,high_external_low_internal_ratio,only external edges
eb9ffcfb29be9d91bbc996f30c96569ac3ebf617,backend/alembic/versions/018_add_traceability_rules.py,34,function,high_external_low_internal_ratio,only external edges
b59266db1ab4508fa52331e9f0afdfc654717d98,backend/alembic/versions/018_add_traceability_rules.py,40,function,high_external_low_internal_ratio,only external edges
5ddf386cf2cf4ea0942c5b0ae126976b6001989e,backend/alembic/versions/018_add_traceability_rules.py,99,function,high_external_low_internal_ratio,only external edges
51dd462d6e1e82a4ec205662a03fb30631a2ee7e,backend/alembic/versions/019_add_capacity_health_cfd_tables.py,23,function,high_external_low_internal_ratio,only external edges
1457da2c9df1ff13923ff288d8c40417f3fb6506,backend/alembic/versions/019_add_capacity_health_cfd_tables.py,30,function,high_external_low_internal_ratio,only external edges
0b570a6157d10940d5898ce7436f2abebef4bb1e,backend/alembic/versions/019_add_capacity_health_cfd_tables.py,38,function,high_external_low_internal_ratio,only external edges
41dbb6c866c7c08a8594fda07b957b153b46558d,backend/alembic/versions/019_add_capacity_health_cfd_tables.py,44,function,high_external_low_internal_ratio,only external edges
bb0e5b53a968621136a032f75fe17262aa0a26dc,backend/alembic/versions/019_add_capacity_health_cfd_tables.py,142,function,high_external_low_internal_ratio,only external edges
1b791cf4ca59c2a9ee4700bbbb6f6745326e5bd5,backend/alembic/versions/020_add_quality_metrics_tables.py,18,function,high_external_low_internal_ratio,only external edges
a613ae7f90d0a816a1f2af4ce428a3ed008d43e2,backend/alembic/versions/020_add_quality_metrics_tables.py,25,function,high_external_low_internal_ratio,only external edges
7e26a24893e9bbb73312d1955d1e65c24a8fe654,backend/alembic/versions/020_add_quality_metrics_tables.py,101,function,high_external_low_internal_ratio,only external edges
25b85aa07a67e063153b38eafe6431f458802fcf,backend/alembic/versions/021_add_coverage_analytics_tables.py,18,function,high_external_low_internal_ratio,only external edges
3e373fe2ca425872768f31356f1c6b5f2cf33a2c,backend/alembic/versions/021_add_coverage_analytics_tables.py,25,function,high_external_low_internal_ratio,only external edges
5f37a37c6fc9c5610e30d43f07cd02791a41479a,backend/alembic/versions/021_add_coverage_analytics_tables.py,124,function,high_external_low_internal_ratio,only external edges
e9cbd2e8b8155334b14ead74032cabf4f2f496b3,backend/alembic/versions/022_add_filter_indexes.py,21,function,high_external_low_internal_ratio,only external edges
027792639c750453135bbe25cd5a749c357ad8a2,backend/alembic/versions/022_add_filter_indexes.py,28,function,high_external_low_internal_ratio,only external edges
4c387128c5c042b4fca21aca31484b76bf6080b5,backend/alembic/versions/022_add_filter_indexes.py,79,function,high_external_low_internal_ratio,only external edges
9b385d0726da2471240bf29ddc9b33aa5d9ad780,backend/alembic/versions/022_add_filter_indexes.py,91,function,high_external_low_internal_ratio,only external edges
077625b726fa235c5cc3c066aa62e5197a9802ad,backend/alembic/versions/023_add_composite_performance_indexes.py,20,function,high_external_low_internal_ratio,only external edges
44389b5895375a6a7434608243119f0c863c7a82,backend/alembic/versions/023_add_composite_performance_indexes.py,27,function,high_external_low_internal_ratio,only external edges
6549b54d7efa11de6b4f3f4cf686d6dcbbc01816,backend/alembic/versions/023_add_composite_performance_indexes.py,56,function,high_external_low_internal_ratio,only external edges
7e4bb2156eb105e2502a989d03a999ae9677ed17,backend/alembic/versions/023_add_composite_performance_indexes.py,68,function,high_external_low_internal_ratio,only external edges
72e95534970c9383533cca758e07f9059efed6b1,backend/alembic/versions/024_add_rule_scheduling_columns.py,26,function,high_external_low_internal_ratio,only external edges
bc00141afa542f138541c3f40065fe706c992e0b,backend/alembic/versions/024_add_rule_scheduling_columns.py,33,function,high_external_low_internal_ratio,only external edges
