file,dependency,version,manager,scope
backend/requirements-basic.txt,aiosqlite==0.17.0,,pip,prod
backend/requirements-basic.txt,fastapi==0.100.0,,pip,prod
backend/requirements-basic.txt,pydantic==1.10.12,,pip,prod
backend/requirements-basic.txt,python-dotenv==1.0.0,,pip,prod
backend/requirements-basic.txt,requests==2.31.0,,pip,prod
backend/requirements-basic.txt,sqlalchemy==1.4.48,,pip,prod
backend/requirements-basic.txt,uvicorn==0.23.0,,pip,prod
backend/requirements-flask.txt,Flask-CORS==4.0.0,,pip,prod
backend/requirements-flask.txt,Flask==2.3.3,,pip,prod
backend/requirements-flask.txt,requests==2.31.0,,pip,prod
backend/requirements-lite.txt,aiosqlite==0.19.0,,pip,prod
backend/requirements-lite.txt,alembic==1.13.1,,pip,prod
backend/requirements-lite.txt,atlassian-python-api==3.41.4,,pip,prod
backend/requirements-lite.txt,black==23.12.1,,pip,prod
backend/requirements-lite.txt,fastapi==0.109.0,,pip,prod
backend/requirements-lite.txt,flake8==7.0.0,,pip,prod
backend/requirements-lite.txt,httpx==0.26.0,,pip,prod
backend/requirements-lite.txt,openpyxl==3.1.2,,pip,prod
backend/requirements-lite.txt,pandas==2.1.4,,pip,prod
backend/requirements-lite.txt,passlib[bcrypt]==1.7.4,,pip,prod
backend/requirements-lite.txt,pydantic-settings==2.1.0,,pip,prod
backend/requirements-lite.txt,pydantic==2.5.3,,pip,prod
backend/requirements-lite.txt,pytest-asyncio==0.23.3,,pip,prod
backend/requirements-lite.txt,pytest-cov==4.1.0,,pip,prod
backend/requirements-lite.txt,pytest==7.4.4,,pip,prod
backend/requirements-lite.txt,python-dotenv==1.0.0,,pip,prod
backend/requirements-lite.txt,python-jose[cryptography]==3.3.0,,pip,prod
backend/requirements-lite.txt,python-multipart==0.0.6,,pip,prod
backend/requirements-lite.txt,requests==2.31.0,,pip,prod
backend/requirements-lite.txt,sqlalchemy==2.0.25,,pip,prod
backend/requirements-lite.txt,uvicorn[standard]==0.27.0,,pip,prod
backend/requirements-lite.txt,xlsxwriter==3.1.9,,pip,prod
backend/requirements-minimal.txt,aiosqlite==0.19.0,,pip,prod
backend/requirements-minimal.txt,beautifulsoup4==4.12.3,,pip,prod
backend/requirements-minimal.txt,fastapi==0.109.0,,pip,prod
backend/requirements-minimal.txt,passlib[bcrypt]==1.7.4,,pip,prod
backend/requirements-minimal.txt,pydantic-settings==2.1.0,,pip,prod
backend/requirements-minimal.txt,pydantic==2.5.3,,pip,prod
backend/requirements-minimal.txt,python-dotenv==1.0.0,,pip,prod
backend/requirements-minimal.txt,python-jose[cryptography]==3.3.0,,pip,prod
backend/requirements-minimal.txt,python-multipart==0.0.6,,pip,prod
backend/requirements-minimal.txt,requests==2.31.0,,pip,prod
backend/requirements-minimal.txt,sqlalchemy==2.0.25,,pip,prod
backend/requirements-minimal.txt,uvicorn[standard]==0.27.0,,pip,prod
backend/requirements.txt,alembic==1.13.1,,pip,prod
backend/requirements.txt,asyncpg==0.29.0,,pip,prod
backend/requirements.txt,atlassian-python-api==3.41.4,,pip,prod
backend/requirements.txt,beautifulsoup4==4.12.3,,pip,prod
backend/requirements.txt,black==23.12.1,,pip,prod
backend/requirements.txt,celery==5.3.6,,pip,prod
backend/requirements.txt,croniter==2.0.1  # Cron expression parsing for scheduled rule execution,,pip,prod
backend/requirements.txt,email-validator==2.1.0,,pip,prod
backend/requirements.txt,fastapi==0.109.0,,pip,prod
backend/requirements.txt,flake8==7.0.0,,pip,prod
backend/requirements.txt,fpdf2==2.7.9,,pip,prod
backend/requirements.txt,httpx==0.26.0,,pip,prod
backend/requirements.txt,httpx==0.26.0,,pip,prod
backend/requirements.txt,mypy==1.8.0,,pip,prod
backend/requirements.txt,numpy==1.26.3,,pip,prod
backend/requirements.txt,openpyxl==3.1.2,,pip,prod
backend/requirements.txt,pandas==2.1.4,,pip,prod
backend/requirements.txt,passlib[bcrypt]==1.7.4,,pip,prod
backend/requirements.txt,psycopg2-binary==2.9.9,,pip,prod
backend/requirements.txt,pydantic-settings==2.1.0,,pip,prod
backend/requirements.txt,pydantic==2.5.3,,pip,prod
backend/requirements.txt,pyotp==2.9.0,,pip,prod
backend/requirements.txt,pytest-asyncio==0.23.3,,pip,prod
backend/requirements.txt,pytest-cov==4.1.0,,pip,prod
backend/requirements.txt,pytest==7.4.4,,pip,prod
backend/requirements.txt,python-dotenv==1.0.0,,pip,prod
backend/requirements.txt,python-jose[cryptography]==3.3.0,,pip,prod
backend/requirements.txt,python-multipart==0.0.6,,pip,prod
backend/requirements.txt,qrcode[pil]==7.4.2,,pip,prod
backend/requirements.txt,redis==5.0.1,,pip,prod
backend/requirements.txt,requests==2.31.0,,pip,prod
backend/requirements.txt,scikit-learn==1.4.0,,pip,prod
backend/requirements.txt,sentry-sdk==1.40.6,,pip,prod
backend/requirements.txt,slowapi==0.1.7,,pip,prod
backend/requirements.txt,sqlalchemy==2.0.25,,pip,prod
backend/requirements.txt,uvicorn[standard]==0.27.0,,pip,prod
backend/requirements.txt,xlsxwriter==3.1.9,,pip,prod
frontend/package.json,@emotion/react,^11.11.3,npm,prod
frontend/package.json,@emotion/styled,^11.11.0,npm,prod
frontend/package.json,@eslint/js,^9.39.2,npm,dev
frontend/package.json,@mui/icons-material,^5.15.3,npm,prod
frontend/package.json,@mui/lab,^5.0.0-alpha.169,npm,prod
frontend/package.json,@mui/material,^5.15.3,npm,prod
frontend/package.json,@mui/x-data-grid,^6.18.7,npm,prod
frontend/package.json,@reduxjs/toolkit,^2.0.1,npm,prod
frontend/package.json,@tanstack/react-query,^5.17.9,npm,prod
frontend/package.json,@testing-library/jest-dom,^6.2.0,npm,prod
frontend/package.json,@testing-library/react,^14.1.2,npm,prod
frontend/package.json,@testing-library/user-event,^14.5.2,npm,prod
frontend/package.json,@types/d3,^7.4.3,npm,prod
frontend/package.json,@types/jest,^29.5.11,npm,prod
